Season,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1
2017-2018,T.J. Warren,SF,24,PHO,65,2142,0.498,8.8,0.915,0.378,0.182,0.188,0.16699999999999998,0.085,0.523,0.682,0.415,0.425,0.393,0.222,0.617,1.0,0.041,44,0.411,0.21600000000000005,0,0
2017-2018,Taj Gibson,PF,32,MIN,82,2726,0.5770000000000001,6.5,0.953,0.482,0.236,0.117,0.118,0.047,0.595,0.752,0.466,0.442,0.368,0.2,0.711,1.0,0.125,89,0.7709999999999999,0.222,1,0
2017-2018,Tarik Black,C,26,HOU,51,536,0.591,4.3,0.913,0.7170000000000001,0.173,0.0,0.024,0.087,0.638,0.736,0.318,0.0,0.0,0.091,0.8240000000000001,1.0,0.315,36,0.273,0.333,1,0
2017-2018,Taurean Prince,SF,23,ATL,82,2464,0.426,14.9,0.531,0.234,0.139,0.095,0.063,0.469,0.461,0.61,0.39,0.355,0.23,0.385,0.381,0.898,0.024,21,0.223,0.48,0,0
2017-2018,Terrance Ferguson,SG,19,OKC,61,763,0.414,19.0,0.29,0.166,0.03,0.018000000000000002,0.077,0.71,0.612,0.7140000000000001,0.2,0.333,0.615,0.333,0.767,1.0,0.077,10,0.508,0.426,0,0
2017-2018,Terrence Ross,SG,26,ORL,24,600,0.398,17.7,0.513,0.126,0.099,0.141,0.147,0.487,0.469,0.75,0.263,0.333,0.5,0.32299999999999995,0.674,0.867,0.037000000000000005,6,0.204,0.579,2,0
2017-2018,Terry Rozier,PG,23,BOS,80,2068,0.395,16.8,0.498,0.18,0.121,0.085,0.111,0.503,0.41,0.535,0.309,0.368,0.348,0.381,0.264,0.706,0.014,10,0.157,0.365,3,0
2017-2018,Thabo Sefolosha,SF,33,UTA,38,806,0.4920000000000001,12.3,0.65,0.333,0.121,0.096,0.1,0.35,0.551,0.688,0.379,0.435,0.417,0.381,0.64,0.906,0.042,9,0.5479999999999999,0.457,0,0
2017-2018,Thaddeus Young,PF,29,IND,81,2607,0.487,9.2,0.7909999999999999,0.387,0.256,0.073,0.076,0.209,0.531,0.626,0.466,0.349,0.439,0.32,0.565,0.948,0.052000000000000005,40,0.331,0.317,2,0
2017-2018,Thomas Bryant,C,20,LAL,15,72,0.381,15.6,0.524,0.28600000000000003,0.048,0.0,0.19,0.476,0.636,0.833,0.0,0.0,0.5,0.1,1.0,1.0,0.19,3,0.3,0.0,0,0
2017-2018,Thon Maker,C,20,MIL,74,1238,0.411,13.4,0.6709999999999999,0.285,0.13,0.104,0.152,0.329,0.467,0.544,0.317,0.364,0.521,0.298,0.899,1.0,0.101,27,0.452,0.34,1,0
2017-2018,Tim Frazier,PG,27,WAS,59,838,0.395,15.8,0.674,0.157,0.128,0.128,0.262,0.326,0.44,0.741,0.227,0.409,0.378,0.304,0.431,0.588,0.012,2,0.054000000000000006,0.333,0,0
2017-2018,Tim Hardaway Jr.,SG,25,NYK,57,1885,0.421,16.4,0.521,0.222,0.08900000000000001,0.091,0.119,0.479,0.516,0.642,0.276,0.513,0.461,0.317,0.504,0.792,0.028,21,0.124,0.373,2,0
2017-2018,Tim Quarterman,SG,23,HOU,3,13,0.333,18.7,0.333,0.0,0.333,0.0,0.0,0.667,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0
2017-2018,Timofey Mozgov,C,31,BRK,31,359,0.5589999999999999,7.3,0.8059999999999999,0.5479999999999999,0.183,0.043,0.032,0.194,0.64,0.725,0.529,0.25,0.333,0.222,0.7709999999999999,1.0,0.204,18,0.833,0.267,1,0
2017-2018,Timothé Luwawu-Cabarrot,SF,22,PHI,52,807,0.375,16.2,0.408,0.28800000000000003,0.075,0.004,0.041,0.5920000000000001,0.431,0.545,0.1,1.0,0.182,0.335,0.851,0.962,0.011,1,0.29100000000000004,0.348,0,0
2017-2018,Tobias Harris,PF,25,TOT,80,2668,0.46,13.9,0.636,0.212,0.183,0.156,0.084,0.364,0.488,0.645,0.402,0.455,0.343,0.411,0.459,0.8690000000000001,0.048,53,0.227,0.446,1,0
2017-2018,Tobias Harris,PF,25,DET,48,1563,0.451,14.4,0.611,0.192,0.182,0.165,0.07200000000000001,0.389,0.478,0.625,0.426,0.436,0.314,0.409,0.488,0.858,0.049,32,0.217,0.417,1,0
2017-2018,Tobias Harris,PF,25,LAC,32,1105,0.473,13.1,0.67,0.24,0.18600000000000005,0.145,0.1,0.33,0.501,0.667,0.368,0.486,0.373,0.414,0.424,0.8859999999999999,0.047,21,0.243,0.488,0,0
2017-2018,Tomáš Satoranský,SG,26,WAS,73,1643,0.523,11.9,0.737,0.266,0.224,0.122,0.125,0.263,0.544,0.696,0.512,0.404,0.417,0.465,0.526,1.0,0.042,13,0.406,0.488,2,0
2017-2018,Tony Allen,SF,36,NOP,22,273,0.484,6.1,0.868,0.659,0.154,0.0,0.055,0.132,0.506,0.5670000000000001,0.35700000000000004,0.0,0.2,0.333,0.7,1.0,0.022,2,0.333,0.75,1,0
2017-2018,Tony Bradley,C,20,UTA,9,29,0.273,9.3,0.909,0.273,0.182,0.364,0.091,0.091,0.3,0.667,0.0,0.25,0.0,0.0,0.667,0.0,0.0,0,0.0,0.0,0,0
2017-2018,Tony Parker,PG,35,SAS,55,1071,0.459,10.4,0.905,0.338,0.14400000000000002,0.126,0.29600000000000004,0.095,0.479,0.626,0.393,0.429,0.374,0.27,0.28600000000000003,0.9,0.0,0,0.757,0.28600000000000003,1,0
2017-2018,Tony Snell,SG,26,MIL,75,2053,0.435,18.0,0.369,0.16699999999999998,0.08199999999999999,0.052000000000000005,0.068,0.631,0.49,0.648,0.257,0.409,0.448,0.403,0.623,1.0,0.035,12,0.366,0.439,0,0
2017-2018,Torrey Craig,SF,27,DEN,39,629,0.453,12.4,0.5770000000000001,0.46,0.073,0.015,0.029,0.423,0.57,0.619,0.2,0.5,0.75,0.293,0.644,1.0,0.102,13,0.362,0.381,3,0
2017-2018,Travis Wear,SF,27,LAL,17,228,0.34700000000000003,22.0,0.34700000000000003,0.014,0.014,0.097,0.222,0.653,0.32,1.0,0.0,0.429,0.25,0.362,0.625,0.941,0.014,1,0.149,0.7140000000000001,0,0
2017-2018,Treveon Graham,SG,24,CHO,63,1050,0.434,14.4,0.561,0.253,0.14,0.1,0.068,0.439,0.452,0.536,0.355,0.318,0.5329999999999999,0.412,0.607,0.975,0.005,1,0.402,0.41,0,0
